speed,speed_limit,speed_avg_week,speed_avg_time,speed_avg_week_time,speed_avg,seconds,air_temperature,wind_direction,wind_speed_ms,segangle,time,weekend,drifting,dry,fog,freezing,none,snow,thunder,wet,living_street,motorway,motorway_link,primary,residential,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,unpaved
52.430000305200004,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64.1500015259,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66.0999984741,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.6199989319,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,13.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28.40999889375,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,4.9,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.5699996948,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44.079998016400005,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37.090000152600005,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57.816665649433325,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,10.1,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61.34499931335,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,5.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47.9899978638,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22.729999542250003,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,5.1,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.13499832155,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,5.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17.3866666158,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,35.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45.5499992371,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57.59000015260001,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52.56999969485,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,4.9,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49.2000007629,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43.75,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.7099990845,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,4.9,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57.8999977112,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57.8899993896,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56.6299972534,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53.25,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50.97499847415,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,5.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47.47999954220001,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47.21666463213334,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,10.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37.5699996948,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22.02666600547667,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,10.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46.9199981689,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.5,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.61999893189999,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.059997558599996,56,47.04487897015237,45.89257312610221,46.69981617745058,46.44629145038065,0.0,10.0,010,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
