trip_id,trip_segmentno,segmentkey,segmentid,ev_kwh
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.0
554,-1,-1,-1,0.7317047118999938
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
565,-1,-1,-1,0.7317199706999986
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
565,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.7317123413999909
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.12195587160000798
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
568,-1,-1,-1,0.0
575,-1,-1,-1,0.0
575,-1,-1,-1,0.0
575,-1,-1,-1,0.0
